No,Sub Portfolio Name,Floor Cd,Floor Name,Lot No,Net Area (Lot Master),GFA,NLA,Contract Amt,Rental Base,Base Rental Rate,Rental Rate,Service Charge Rate
111,CITIMALL CIANJUR,-10,LG,LG-0010,390,Y,Y,"10,942,027,200.00",Full Rental,"36,019.20",36000,"22,252.94"
111,CITIMALL CIANJUR,-10,LG,LG-0020,99,Y,Y,"130,336,800.00",Full Rental,"22,000.00",22000,0.00
111,CITIMALL CIANJUR,0,G,G-0010,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0011,4653,Y,Y,"10,942,027,200.00",Full Rental,"36,019.20",36000,"22,252.94"
111,CITIMALL CIANJUR,0,G,G-0015,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0020,643,Y,Y,"1,798,834,560.00",Full Rental,"46,600.00",48500,"27,500.00"
111,CITIMALL CIANJUR,0,G,G-0030,356,Y,Y,"2,136,000,000.00",Full Rental,"100,000.00",100000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0034,10,Y,Y,"37,800,000.00",Full Rental,"63,000.00",60000,"55,000.00"
111,CITIMALL CIANJUR,0,G,G-0035,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0035A,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0036,128,Y,Y,"969,267,600.00",Full Rental,"126,000.00",120000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0037,213,Y,Y,"1,540,009,163.10",Full Rental,"103,629.03",105000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0038,9,Y,Y,"28,813,266.79",Full Rental,"49,193.55",50000,"55,000.00"
111,CITIMALL CIANJUR,0,G,G-0040,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0040A,11,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0040B,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040C,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040D,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040E,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040F,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040G,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040H,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040I,6,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0040J,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040K,6,Y,Y,"51,678,628.49",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040L,6,Y,Y,"51,102,822.09",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040M,8,Y,Y,"53,550,000.00",Full Rental,"595,000.00",595000,0.00
111,CITIMALL CIANJUR,0,G,G-0040N,6,Y,Y,"53,549,999.66",Full Rental,"719,758.06",719758,0.00
111,CITIMALL CIANJUR,0,G,G-0040P,5,Y,Y,"171,725,805.11",Full Rental,"323,275.86",323276,0.00
111,CITIMALL CIANJUR,0,G,G-0041,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0042,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0043,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0044,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0045,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0046,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0047,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0048,0,Y,Y,,,,0,"1,320,000.00"
111,CITIMALL CIANJUR,0,G,G-0049,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0050,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0051,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0052,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0053,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0054,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0055,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0056,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0057,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060A,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060B,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060C,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060D,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060E,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060F,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060G,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060H,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060I,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060J,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060K,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060L,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0060Z,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0061,158,Y,Y,0.00,Revenue Share,0.00,0,0.00
111,CITIMALL CIANJUR,0,G,G-0065,31,Y,Y,0.00,Revenue Share,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0070,82,Y,Y,"398,520,000.00",Full Rental,"135,000.00",135000,"114,240.00"
111,CITIMALL CIANJUR,0,G,G-0080,78,Y,Y,"126,781,200.00",Full Rental,"135,000.00",135000,"100,000.00"
111,CITIMALL CIANJUR,0,G,G-0090,160,Y,Y,"892,800,000.00",Full Rental,"155,000.00",145000,"100,000.00"
111,CITIMALL CIANJUR,0,G,G-0100,81,Y,Y,"748,440,000.00",Full Rental,"153,846.15",160000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0105,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0110,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0115,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0120,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0130,329,Y,Y,"1,578,240,000.00",Full Rental,"80,000.00",90000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0135,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0140,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0140A,7,Y,Y,"3,654,999.99",Full Rental,"541,481.48",541481,0.00
111,CITIMALL CIANJUR,0,G,G-0140B,7,Y,Y,"3,059,999.98",Full Rental,"453,333.33",453333,0.00
111,CITIMALL CIANJUR,0,G,G-0140C,7,Y,Y,"2,719,999.98",Full Rental,"402,962.96",402963,0.00
111,CITIMALL CIANJUR,0,G,G-0140D,7,Y,Y,"2,379,999.98",Full Rental,"352,592.59",352593,0.00
111,CITIMALL CIANJUR,0,G,G-0140E,7,Y,Y,"1,545,454.96",Full Rental,"228,956.29",228956,0.00
111,CITIMALL CIANJUR,0,G,G-0140F,7,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0140G,7,Y,Y,"3,229,999.94",Full Rental,"478,518.51",478519,0.00
111,CITIMALL CIANJUR,0,G,G-0140H,7,Y,Y,"2,975,000.00",Full Rental,"440,740.74",440741,0.00
111,CITIMALL CIANJUR,0,G,G-0140I,7,Y,Y,"2,719,999.98",Full Rental,"402,962.96",402963,0.00
111,CITIMALL CIANJUR,0,G,G-0140J,7,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0140K,7,Y,Y,"1,545,454.96",Full Rental,"228,956.29",228956,0.00
111,CITIMALL CIANJUR,0,G,G-0140L,7,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0140Z,81,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0150,36,Y,Y,"272,160,000.00",Full Rental,"210,000.00",210000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0160,128,Y,Y,"918,000,000.00",Full Rental,"200,000.00",200000,"114,240.00"
111,CITIMALL CIANJUR,0,G,G-0162,12,Y,Y,"42,832,999.80",Full Rental,"100,000.00",100000,"57,120.00"
111,CITIMALL CIANJUR,0,G,G-0165,121,Y,Y,"983,664,000.00",Full Rental,"135,000.00",125000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0170,37,Y,Y,"370,557,000.00",Full Rental,"275,000.00",275000,"110,000.00"
111,CITIMALL CIANJUR,0,G,G-0180,685,Y,Y,"3,166,317,000.00",Full Rental,"77,000.00",75000,"50,000.00"
111,CITIMALL CIANJUR,0,G,G-0185,0,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0190,1,Y,Y,"110,999,999.81",Full Rental,"2,569,444.44",2569444,0.00
111,CITIMALL CIANJUR,0,G,G-0200,2,Y,Y,"187,500,000.00",Full Rental,"3,125,000.00",3125000,0.00
111,CITIMALL CIANJUR,0,G,G-0210,1,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0220,1,Y,Y,"72,999,999.96",Full Rental,"6,083,333.33",6083333,0.00
111,CITIMALL CIANJUR,0,G,G-0230,2,Y,Y,"107,249,999.76",Full Rental,"2,979,166.66",2979167,"99,000.00"
