No,Sub Portfolio Name,Floor Name,Lot No,Net Area (Lot Master),NLA,Rental Base,Rental Rate,Service Charge Rate,Start Date,End Date,RCD,RED,Fit Out Commenced On,Business Name,Brand Name
1,CITIMALL CIANJUR,LG,LG-0010,390.19,Y,Full Rental,"36,000.00","22,252.94",19/Dec/2017,18/Dec/2022,19/Dec/2017,18/Dec/2022,19/Dec/2017,HYPERMART,HYPERMART
2,CITIMALL CIANJUR,LG,LG-0020,98.74,Y,Full Rental,"22,000.00",0.00,18/Dec/2018,17/Dec/2023,18/Dec/2018,17/Dec/2023,18/Dec/2018,ELECTRONIC CITY,GUDANG ELECTRONIC CITY
3,CITIMALL CIANJUR,LG,LG-BAM01,4.00,N,,0.00,0.00,,,,,,,
4,CITIMALL CIANJUR,LG,LG-BOH01,5.00,N,,0.00,0.00,,,,,,,
5,CITIMALL CIANJUR,LG,LG-BOH02,20.00,N,,0.00,0.00,,,,,,,
6,CITIMALL CIANJUR,LG,LG-BOH11,14.00,N,Combine,"4,285,714.28",0.00,01/Dec/2016,30/Nov/2021,01/Dec/2016,30/Nov/2021,01/Dec/2016,QUALITY PARKING,CITRA PUSAKA MANDIRI PARKING
7,CITIMALL CIANJUR,LG,LG-MEP01,138.00,N,,0.00,0.00,,,,,,,
8,CITIMALL CIANJUR,G,G-0010,0.00,Y,,0.00,0.00,,,,,,,
9,CITIMALL CIANJUR,G,G-0011,"4,653.03",Y,Full Rental,"36,000.00","22,252.94",19/Dec/2017,18/Dec/2022,19/Dec/2017,18/Dec/2022,19/Dec/2017,HYPERMART,HYPERMART
10,CITIMALL CIANJUR,G,G-0015,0.00,Y,,0.00,0.00,,,,,,,
11,CITIMALL CIANJUR,G,G-0020,643.36,Y,Full Rental,"48,500.00","27,500.00",01/Jun/2017,31/May/2022,01/Jun/2017,31/May/2022,01/Jun/2017,INUL VIZTA,INUL VIZTA FAMILY KTV
12,CITIMALL CIANJUR,G,G-0030,356.00,Y,Full Rental,"100,000.00","110,000.00",15/Nov/2018,14/Nov/2023,15/Nov/2018,14/Nov/2023,15/Nov/2018,BUTI FASHION,BUTI FASHION
13,CITIMALL CIANJUR,G,G-0034,10.00,Y,Full Rental,"60,000.00","55,000.00",22/Feb/2019,22/Feb/2024,23/Feb/2019,22/Feb/2024,22/Feb/2019,GUDANG ALEEYA HIJAB,GUDANG ALEEYA HIJAB
14,CITIMALL CIANJUR,G,G-0035,0.00,Y,,0.00,0.00,,,,,,,
15,CITIMALL CIANJUR,G,G-0035A,0.00,Y,,0.00,0.00,,,,,,,
16,CITIMALL CIANJUR,G,G-0036,128.21,Y,Full Rental,"120,000.00","110,000.00",22/Jan/2019,22/Feb/2024,23/Feb/2019,22/Feb/2024,22/Jan/2019,ALEEYA HIJAB,ALEEYA HIJAB
17,CITIMALL CIANJUR,G,G-0037,212.89,Y,Full Rental,"105,000.00","110,000.00",30/Jan/2017,04/Jun/2022,05/Jun/2017,04/Jun/2022,30/Jan/2017,POJOK BUSANA,POJOK BUSANA
18,CITIMALL CIANJUR,G,G-0038,9.04,Y,Full Rental,"50,000.00","55,000.00",05/Jun/2017,04/Jun/2022,05/Jun/2017,04/Jun/2022,05/Jun/2017,POJOK BUSANA,GUDANG POJOK BUSANA
19,CITIMALL CIANJUR,G,G-0040,0.00,Y,,0.00,0.00,,,,,,,
20,CITIMALL CIANJUR,G,G-0040A,10.79,Y,,0.00,0.00,,,,,,,
21,CITIMALL CIANJUR,G,G-0040B,6.20,Y,Full Rental,"719,758.06",0.00,01/Jan/2020,31/Dec/2020,01/Jan/2020,31/Dec/2020,01/Jan/2020,DIMAS JUICE,DIMAS JUICE
22,CITIMALL CIANJUR,G,G-0040C,6.20,Y,Full Rental,"719,758.06",0.00,01/Jan/2020,31/Dec/2020,01/Jan/2020,31/Dec/2020,01/Jan/2020,SAUNG BERKAH,SAUNG BERKAH
